english,oshikwanyama
"Then the Lord said to Moses in Midian, “Go back to Egypt, for all the men who were seeking your life [for killing the Egyptian] are dead.”","NOmwene ye okwa lombwela Moses muMidian ta ti: “Inda ko u shune kuEgipiti. Osheshi ovanhu aveshe venya va li va hala oku ku dipaa, ova fya.”"
"So Moses took his wife [Zipporah] and his sons [Gershom and Eliezer] and seated them on donkeys, and returned to the land of Egypt. Moses also took the staff of God in his hand.","Moses okwa kufa omwalikadi waye novana vaye ovamati nokwe va londeka kondongi, ndele a shuna kedu laEgipiti. Onhaili yaKalunga Moses e i kwete meke laye. "
"The Lord said to Moses, “When you return to Egypt, see that you perform before Pharaoh all the wonders (miracles) which I have put in your hand, but I will harden his heart and make him stubborn so that he will not let the people go. ","NOmwene okwa lombwela Moses ta ti: “Paife eshi to shuna kuEgipiti, tala, ka ninge oikumwifa aishe ei nde i ku pa, koshipala shaFarao. Ndelenee Ame ohandi ka kukutika omutima waye, opo ye ita ka efa oshiwana shi dje mo."
"Then you shall say to Pharaoh, ‘Thus says the Lord, “Israel is My son, My firstborn. ",Ove u nokulombwela Farao kutya Omwene ta ti ngaha: ‘Israel oye oshiveli shange; 
"So I say to you, ‘Let My son go so that he may serve Me’; and if you refuse to let him go, behold, I will kill your son, your firstborn.","onghee handi ku lombwele, lekela omona wange omumati, opo a shiive okulongela nge. Ndelenee ngeenge to anye oku mu lekela, tala, oiveli yoye Ame ohandi i dipaa."
"Now it happened at the lodging place, that the Lord met Moses and sought to kill him [making him deathly ill because he had not circumcised one of his sons","Hano mondjila, fimbo ve li monhanda, Omwene okwe mu hanga nokwa hala oku mu dipaa. "
"Then Zipporah took a flint knife and cut off the foreskin of her son and threw it at Moses’ feet, and said, “Indeed you are a husband of blood to me!” ","Opo nee Sippora okwa kufa okamanya ka upikwa nokwa kengha oshipa shonhele youlumenhu womona waye omumati nokwe shi kumifa eemhadi daMoses ndele ta ti: “Oshili, oove omuhomboli wange wopahonde.” "
"So He let Moses alone [to recover]. At that time Zipporah said, “You are a husband of blood”—because of the circumcision.",Ndele Ye okwe mu efa. Opo ye okwa tile: “Omuhomboli wopahonde! Omolwokupita etanda.”
"The Lord said to Aaron, “Go into the wilderness to meet Moses.” So he went and met him at the mountain of God (Sinai) and kissed him.","Omwene okwa lombwela yo Aron ta ti: “Inda u ka shakeneke Moses mofuka.” Ndele ye okwa ya nokwe mu shakeneka komhunda yaKalunga, ndele okwe mu fipa komilungu. "
"Moses told Aaron all the words of the Lord with which He had sent him, and all the signs that He had commanded him to do.",Opo nee Moses okwa hepaululila Aron eendjovo adishe dOmwene nado Ye okwe mu tuma nomadidiliko aeshe oo Ye e mu lombwela. 
Then Moses and Aaron went [into Egypt] and assembled all the elders of the Israelites; ,Ndele Moses naAron ova ya nova ongaleka ovakulunhu aveshe vOvaisraeli.
and Aaron said all the words which the Lord had spoken to Moses. Then Moses performed the signs [given to him by God] before the people.,"NaAron okwa hepaulula eendjovo adishe odo Omwene e di lombwela Moses, nomadidiliko okwe a ninga moipafi yovanhu. "
"So the people believed; and when they heard that the Lord was concerned about the Israelites and that He had looked [with compassion] on their suffering, then they bowed their heads and worshiped ","Novanhu va itavela. Ndele vo eshi va uda nokutya, Omwene okwa dimbulukwa Ovaisraeli nokwa mona oudjuu wavo, vo ove linyongamena nokutwa oipala yavo poshi."
"Afterward Moses and Aaron came and said to Pharaoh, “Thus says the Lord, the God of Israel, ‘Let My people go, so that they may celebrate a feast to Me in the wilderness.","Ndele Moses naAron ova ya kuFarao ndele tava ti kuye: “Omwene Kalunga kaIsrael ta ti ngaha: ‘Lekela oshiwana shange, shi ka ningile nge oshivilo mombuwa."
"But Pharaoh said, “Who is the Lord that I should obey His voice to let Israel go? I do not know the Lord, nor will I let Israel go.” ","Ndelenee Farao ta nyamukula: “Omwene olyelye, ame ndi pwilikine ondaka yaye ndi lekele Israel? Omwene ou kandi mu shii noitandi ka lekela Israel a dje mo.” "
"Then they said, “The God of the Hebrews has met with us. Please, let us go on a three days’ journey into the wilderness and sacrifice to the Lord our God, so that He does not discipline us with pestilence or with the sword.”","Vo otava ti: “Kalunga kOvaheberi okwe tu shakeneka. Tu lekela hano, tu ka ye mondjila yomafiku atatu, tu ka yambele Omwene Kalunga ketu mombuwa, opo ehe tu dipaife oudu wolutapo ile eongamukonda.” "
"But the king of Egypt said to Moses and Aaron, “Why do you take the people away from their work? Get back to your burdens!” ","Ndelenee ohamba yaEgipiti ye va nyamukula, tai ti: “Moses naAron, omolwashike tamu kelele ovanhu va longe oilonga yavo? Indeni mu ka longe! "
"Pharaoh said, “Look, the people of the land are now many, and you would have them stop their work!” ","Farao okwa tile vali: Taleni, ovanhu vomoshilongo ovahapu nokuli, ndele mwa hala va fe oilonga yavo?"
"The very same day Pharaoh gave orders to the [Egyptian] taskmasters in charge of the people and their [Hebrew] foremen, saying,","Mefiku tuu olo Farao okwa lombwela ovafininiki vomovanhu novapashukili voilonga, ndele ta ti: "
You will no longer give the people straw to make brick as before; let them go and gather straw for themselves.,Ovanhu inamu va pa vali omwiidi mokufoloma eedopi ngaashi shito. Ovo vene nave ke liongelele omwiidi. 
"But the number of bricks which they were making before, you shall [still] require of them; you are not to reduce it in the least. For they are idle and lazy; that is why they cry, ‘Let us go and sacrifice to our God.’ ",Ndelenee eedopi di fike pwaadinya donghela nodongheleinya mu noku di pula kuvo. Inamu ninipalifa omuvalu wado. Osheshi vo ovandede. Onghee hava ingida tava ti: ‘Tu ka ningile Kalunga ketu exwikilo!’ 
"Let labor be heavier on the men, and let them work [hard] at it so that they will pay no attention to [their God’s] lying words.”","Oshilonga nashi ninge shidjuu shili kovalumenhu, opo va kale mokulonga, vaha pwilikine eendjovo doipupulu.” "
"Then the [Egyptian] taskmasters [in charge] of the people and their [Hebrew] foremen went out and said to the people, “Thus says Pharaoh, ‘I will not give you any straw. ",Opo nee ovafininiki vovanhu novapashukili va pita mo ndele va lombwela ovanhu ndele tava ti: “Farao osho ta ti: ‘Itandi mu pe omwiidi nande. 
"Go, get straw for yourselves wherever you can find it, but your work [quota] will not be reduced in the least.’ ”",Indeni nye vene mu ka tale ko omwiidi keshe apa tau monika. Ndele oilonga yeni itai shuna monima.’ 
So the people were scattered throughout the land of Egypt to gather stubble to use for straw. ,Opo nee ovanhu va endaenda moshilongo ashishe shaEgipiti va ka ongele oimbodi ponhele yomwiidi.
"And the taskmasters pressured them, saying, “Finish your work, [fulfill] your daily quotas, just as when there was straw [given to you].” ",Novafininiki va fininika ndele tava ti: “Wanifeni oshilonga sheni keshe efiku naanaa ngaashi mefimbo linya pa li omwiidi.”
"And the Hebrew foremen, whom Pharaoh’s taskmasters had set over them, were beaten and were asked, “Why have you not fulfilled your required quota of making bricks yesterday and today, as before?”","Hano ovalongifi venya Ovaisraeli va dengwa kovafininiki ava va tulwa po kuFarao, ndele tava ti: “Oshike hano inamu wanifa oilonga yeni onghela nonena, ngaashi shito, mu wanife omuvalu weedopi ngaashi mwa lombwelwa?”"
"Then the Hebrew foremen came to Pharaoh and cried, “Why do you deal like this with your servants? ",Onghee hano ovapashukili Ovaisraeli va ya nova kemena Farao ndele va pulwa: “Omolwashike ove ho ningile ngaha novapiya voye?
"No straw is given to your servants, yet they say to us, ‘Make bricks!’ And look, your servants are being beaten, but it is the fault of your own people.”","Osheshi ovapiya voye itava pewa omwiidi, naavenya tava ti kufye: ‘Folomeni eedopi!’ Ndele tala, ovapiya voye tava dengwa, ndelenee oushima u li movanhu voye.”"
"But Pharaoh said, “You are lazy, very lazy and idle! That is why you say, ‘Let us go and sacrifice to the Lord.’","Ndelenee ye okwa nyamukula ta ti: “Onye ovandede, heeno, ovandede. Onghee tamu ti: ‘Tu lekela tu ka ningile Omwene exwikilo.’ "
"Get out now and get to work; for no straw will be given to you, yet you are to deliver the same quota of bricks.” ",Hano paife eshi indeni ashike mu ka longe. Ndelenee itamu pewa omwiidi. Ndelenee wanifeni omuvalu weedopi naanaa.”
"The Hebrew foremen saw that they were in a bad situation because they were told, “You must not reduce [in the least] your daily quota of bricks.” ","Opo nee ovapashukili Ovaisraeli ove liwete vo nhumbi ve li moudjuu, eshi pa lombwelwa: “Nye mu nokuwanifa eedopi deni keshe efiku omuvalu wado; omuvalu itau shunifwa monima.” "
"When they left Pharaoh’s presence, the foremen met Moses and Aaron, who were waiting for them. ","Ndele ve uya kuMoses naAron ava va li ko ofika ve va shakeneke venya eshi va dja kuFarao,"
"And the foremen said to them, “May the Lord look upon you and judge you, because you have made us odious (something hated) in the sight of Pharaoh and his servants, and you have put a sword in their hand to kill us.”","ndele vo ove va lombwela: “Omwene ne mu kwatele onghone noku mu tokola, eshi nye mwe tu tondifa momesho aFarao nomomesho ovapiya vaye, osheshi mwa yandja meke lavo eongamukonda vo ve tu dipae.”"
"hen Moses turned again to the Lord and said, “O Lord, why have You brought harm and oppression to this people? Why did You ever send me? [I cannot understand Your purpose!] ","Opo nee Moses okwa ya vali kOmwene ndele ta ti: “Omwene, omolwashike wa ningila oshiwana eshi owii? Omolwashike Ove wa tuma nge oku?"
"Ever since I came to Pharaoh to speak in Your name, he has harmed and oppressed this people, and You have done nothing at all to rescue Your people.”","Osheshi okefimbo tuu linya nda ya kuFarao ndi popye medina loye, ye okwa hepeka oshiwana eshi, naave ino xupifa oshiwana shoye.”"
"The vision of [the prophet] Isaiah the son of Amoz concerning [the kingdom of] Judah and [its capital] Jerusalem, which he saw [as revealed by God] during the reigns of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","Emoniko laJesaja yaAmos, ye e li hololelelwa tali tongo Juda naJerusalem, opomafiku aUssia naJotam naAhas naHiskia, eehamba daJuda. "
"Hear, O heavens, and listen, O earth; For the Lord has spoken: “I have reared and brought up sons,But they have rebelled against Me and have broken away","Akutu omaulu, udeni, nedu ove, tula momatwi oye, osheshi Omwene ota popi: “Ame onda tekula ounona nonde va kulifa, ndele vo ova twa ondubo naame."
"The ox [instinctively] knows its owner, ","Ongobe oi shii mwene wayo,"
And the donkey its master’s feeding trough, nokandongi oke shii etemba lokulila mo lamwene wako
",But Israel does not know [Me as Lord],",", ndelenee Israel iha shiiva "
My people do not understand.”,novanhu vange inave shi didilika.”
"Ah, sinful nation,","Woo, oshiwana shovalunde"
A people loaded down with wickedness,"ovanhu vomatimba mahapu,"
"Offspring of evildoers,"," noludalo laava ihava udu ko,"
Sons who behave corruptly!, ounona ovanyoni. 
"They have abandoned the Lord,","Ova efa Omwene, "
They have despised the Holy One of Israel ,va dina Omuyapuki waIsrael ndele 
They have turned away from Him.,ve mu pilamena.
Why should you be stricken and punished again ?,"Omwa hala natango mu dengwe peni, "
You continue to rebel.,eshi natango tamu twikile okuliteeka
The whole head is sick,"Omutwe aushe otau vele, "
And the whole heart is faint and sick.,nomutima aushe u noudu.
From the sole of the foot even to the head,Okudja koshififinwa fiyo okomutwe 
"There is nothing healthy in the nation’s body,","kape na nande onhele ya yela, "
"Only bruises, welts, and raw wounds,","ndelenee oipute noivadi noitoshoulwa, "
"Not pressed out or bandaged,","oyo inai tumbwa noinai mangwa, "
Nor softened with oil.,yo inai vaekwa omaadi. 
Your land lies desolate,"Oshilongo sheni osha ninga omaputu, "
"Your cities are burned with fire,","noilando yeni oya xwikwa po, "
Your fields—strangers are devouring them in your very presence;,omapya eni otaa teywa po kovanailongo moipafi yeni; s
"It is desolate, as overthrown by strangers.","ha ninga omaputu, ngaashi naanaa sha hanaunwa po kovanailongo."
"The Daughter of Zion (Jerusalem) is left like a [deserted] shelter in a vineyard,","Omona okakadona kaSion oye aeke a xupa po, a fa etwali mepya lomiviinyu. "
"Like a watchman’s hut in a cucumber field, like a besieged city [isolated, surrounded by devastation].","A fa okanduda moshikunino shomatanga, a fa oshilando sha kondekwa."
If the Lord of hosts,Omwene womatanga ovakwaita 
"Had not left us a few survivors,","ngeno ine tu xupifila oixupe, "
"We would be like Sodom,","ei ya xupa, ngeno otwa kala ngaashi Sodom "
We would be like Gomorrah.,notwa ninga ngaashi Gomorra.
Hear the word of the Lord ,"Pwilikineni ondjovo yOmwene,"
"You rulers of Sodom,", onye ovakulunhu vaSodom! 
"Listen to the law and instruction of our God,","Tuleni momatwi omhango yaKalunga ketu, "
You people of  Gomorrah.,nye ovanhu vaGomorra! 
What are your multiplied sacrifices to Me ?”,Omatomenoyambo eni mahapuhapu ohandi a ningi shike? 
Says the Lord.,Omwene ta ti
“I have had enough of burnt offerings of rams,Ame onda nyonyodola komaxwikiloyambo eedi 
And the fat of well-fed cattle,nomaadi outana va ondolwa. 
And I take no pleasure in the blood of bulls or lambs or goats ,Ohonde yeemhedi noyeedi noyoikombo inandi i hala. 
"When you come to appear before Me,","Ngeenge nye tamu holoka koshipala shange, "
"Who requires this of you, this trampling of My courts ",olyelye te mu fininike mu lyate momaluumbo ange?
"Do not bring worthless offerings again,",Inamu eta vali eendjayambo dongaho; 
 incense is repulsive to Me;,"omatwimino oo, oixuna yongaho kwaame. "
"New Moon and Sabbath , the calling of assemblies","Eehani dipe nomashabata nomaifano oiongalele, "
I cannot endure wickedness and  the festive assembly.,"okwa tondwa komwenyo wange, oulunde pamwe noivilo inene. "
Good,Nawa
Morning,Ongula
Afternoon (mid-day heat),Omutenya
Afternoon (late afternoon),Komatango
Evening,Onguloshi
Night,Oufiku
Friends,ooKaume
Yes,Ehee / Ee / Heeno
No,Ahowe / Aaye
OK,Eewa
Good morning,Wa lele po?
Good afternoon,Wa uhala po?
Good evening,Wa tokelwa po?
Hello (and other informal greetings),Ongaipi / Ongiini
Go well,Enda po nawa
Stay well,Kala po nawa
Sleep well (someone leaving for bed),Ka nangale po nawa
Sleep well (someone you're leaving),Nangala po nawa
I,Ame
You,Ove
He/She,Ye
We,Fye
You all,Nye
They,Vo
Two,Mbali
Three,Nhatu
Four,Nhee
Five,Nhano
Six,Hamano
Seven,Heyali
Eight,Hetatu
Nine,Omuwoi
Ten,Omulongo
Eleven (Ten and one),Omulongo na imwe
Twelve (Ten and two),Omulongo nambali
Twenty (Two tens),Omilongo mbali
Twenty-five (Two tens and five),Omilongo mbali nanhano
Thirty (Three tens),Omilongo nhatu
One hundred,Efele
Two hundred,Omafele avali
Three hundred,Omafele atatu
One thousand,Eyovi
Two thousand,Omayovi avali
I’m hungry.,Onda fya ondjala.
I’m thirsty.,Onda fya enota.
I’m full.,Onda kuta.
I’m finished.,Onda mana.
"I’m tired, I want to go to sleep.","Onda loloka, onda hala okukofa."
Where is the water?,Omeva oku li peni?
I don’t eat meat.,Ihandi li ombelela.
I don’t understand...,Kandi udite ko...
I’m ............... What’s your name?,Aame ............... Oove lye?
The food is very good!,Oikulya inyenye!
The food is very good!,Oikulya iwa!
Thank you very much.,Tangi unene.
Where is the latrine?,Okandjuwo oke li peni?
I want …….. (polite),Onda hala ……..
May I have .......... (very polite),Kwafe nge / Kwafele nge .........
Give me .......... (informal),Pe nge ..........
Water,Omeva
Water,Omeya
Basin,Oshiyaxa
To sleep,Okukofa
To eat,Okulya
To bathe,Okulikosha
Body soap,Ofewa (yokulikosha)
Candle,Okalexita
Cup,Okakopi
Beer,Obiila
Help (noun),Ekwafo
Key,Oshapi
Key,Oshipatululo
And,Na
With,Na
Also,Natango
Still,Natango
Again,Natango
Or,Ile
I don't know,Kandi shi shii
Help me,Kwafe nge
Help for me,Kwafelenge
Please,Alikana
I am eating,Ohandi li
I ate,Onda lya
I ate meat,Onda lya ombelela
I am not working,Itandi longo
He is speaking Oshikwanyama,Ota popi Oshikwanyama
We will go tomorrow,Ohatu ka ya mongula
I like traditional porridge!,Ondi hole oshifima!
Do you have a pen?,Ou na opena?
I do not know Afrikaans.,Kandi shi shii Oshimbulu.
How is it going?,Oshi li ngaipi?
It is going well.,Oshi li nawa.
What is your name?,Edina loye olye?
My name is Maria,Edina lange oMaria
Where are you from?,Owa dja peni?
I am from Windhoek,Onda dja koWindhoek
What are you doing in Namibia?,Oto ningi shike moNamibia?
I am a volunteer teacher.,Ame omulongi omuliyambi.
I am a teacher trainer.,Ohandi deula ovalongi.
I am an IT volunteer.,Ohandi longo eekompiuta.
What will you teach here?,Oto ka longa shike apa?
"I will teach maths, English, and science.","Ohandi ka longa omwaalu, noshiingilisa, nounongoni."
For how long will you be here?,Oto ka kala mo efimbo li fike peni?
I will be here for two years.,Ohandi ka kala mo eedula mbali.
"See you later, friend.","Oshi liwete nale, kaume."
How old are you?,Ou na eedula ngapi?
I am five years old.,Ondi na eedula nhano.
Aame,It’s me.
Haame,It’s not me.
okwiimba,to sing
okuhaimba,not to sing
Traditional porridge,Oshifima / Oifima
Meat,Ombelela
Cabbage / Spinach,Ombidi
Dried spinach,Evanda
Goat,Oshikombo
Beef,Ombelela yongobe
Chicken,Oxuxwa
Dog,Ombwa
Fish,Oshi
Field mouse,Omhuku
Frog,Efuma
Soup,Oshopa
Pasta,Omakoloni
Rice,Olwiishi
Oil,Omaadi
Tomato / Tomato sauce (Ketchup),Etama / Edama
Salt,Omongwa
Fat cakes,Oukuki
Apple,Oshiyapela / Eyapela
Flour,Oufila
Sugar,Osuuka
Millet,Omahangu
Traditional non-alcoholic drinks,Oshikundu / Oshinwa
Traditional alcoholic drinks,"Omalodu, Otombo, Ombike"
Bread,Omboloto
Jam,Ongema
Butter,Ombuta
Beans,Omakunde
Tea,Otee
Coffee,Okofi
Cooldrink,Onamunate
Pot,Ombiya
Bowl / Basin,Oshiyaxa
Plate,Okayaxa
Traditional clay pot,Etiti
Spoon,Olunguto
Fork,Ofoloka
Knife,Ombele
Hand,Eke / Eenyala
Cooking stick,Oluko
Fire,Omundilo
Cooking fire,Ediko
Match,Okapalwa
To sleep,Okukofa
To eat,Okulya
To sing,Okwiimba
Put the flour in the pot.,Tula oufila mombiya.
Eat meat!,Lya ombelela!
Wait ten minutes.,Teelela ominute omulongo.
Stay well.,Kala po nawa
Go (away)!,Inda!
Come!,Ila!
Come (many people),Ileni!
Stay well (many people),Kaleni po nawa.
Don’t be afraid!,Ino tila!
Don’t go! (many people),Inamu ya!
Meme Sylvia is eating meat.,Meme Sylvia ota li ombelela.
Meme Sylvia eats meat.,Meme Sylvia oha li ombelela.
Do you eat cabbage?,Oho li ombidi?
She does not eat fish.,Iha li oshi.
She is not eating fish.,Ita li oshi.
How do you say ... in Oshikwanyama?,... otashi ti ngaipi mOshikwanyama?
What does ... mean?,... otashi ti ngaipi?
Word,Oshitya
What is this/that?,Eshi / Osho oshike?
Say,Tya (Ti)
He/she/they said that,Va ti
He/she says that,Ota ti kutya
Hey! / I say!,Ohandi ti! / Ohai ti! / Hai ti!
What did he/she/they say?,Okwa ti ngaipi?
In,Po
Inside,Po
On,Po
On top of Po,
At,Ko
To,Ko
By,Ko
Family,Ovaneumbo
Family,Edimo
My father,Tate
Your father,Xo
His/her father,Xe
My mother,Meme
Your mother,Nyoko
His/her mother,Ina
My sibling,Omumwameme
My brother,Omumwamememati
My sister,Omumwamemekadona
Your sibling,Omumwanyoko
His/her sibling,Omumwaina
Little brother or sister,Okandenge
Grandmother,Me(m)ekulu
Grandfather,Tatekulu
Child,Okaana
Children,Ounona
Baby,Okaana
Baby,Okahanana
First-born,Oshiveli
Middle-born,Onowele
Last-born,Onghelo
Friend,Kaume
Female friend,Kahewa
Visitor,Omweenda
Visitor,Omutalelipo
Neighbor,Omushiinda
Husband,Omus(h)amane
Man,Omus(h)amane
Wife,Omukulukadi
Woman,Omukulukadi
Fiance,Omuvaleki
Fiance (woman),Omuvalekwa
I am engaged. (woman),Onda valekwa.
Parents,Ovakulunhu
Young person,Omunyasha
Younger person,Omunini
Elder person,Omukulunhu
Who’s that?,Olye oo?
Where?,Peni?
When? (which day),Naini?
When? (what time),Efimbo peni?
Who?,(O)lye?
Why?,Omolwashike?
Why?,Oshike?
What?,(O)shike?
How?,(O)ngaipi?
How?,(O)ngahelipi?
Where are you going?,Oto i peni?
What are you doing?,Oto ningi shike?
Where is Meme Sylvia?,Meme Sylvia oku li peni?
Who is singing?,Olye ta imbi?
Why are you crying?,Omolwashike to lili?
My learner,Omulongwa w-ange
Your elders,Ovakulupe v-oye
My pen,Opena yange
Your pens,Eepena doye
Cuca shop,Okamba
Store,Ofitola
Proletarian revolution,Elunduluko lovanailonga
Right-wing reactionary,Omukalunduluka wolulyo
Money,Oimaliwa
Change,Oshendja
Expensive,Ondilo
Cheap,Ombilixa
Coins,Oimaliwa ikukutu
Bills,Oimaliwa yomafo
Enough! (interjection),Opuwo!
To be enough (verb),Wana
Receipt,Okasilepa
Price,Odado
Price,Opulaisa
Customer,Okasitoma
Dollar,Odola
Rand,Olanda
10cent coin,Oshifilinga
10cent coins,Oifilinga
Buy,Landa (Lande)
Sell,Landifa
Give,Pa (Pe)
Pay,Futa (Futu)
How much?,Ingapi?
It is too expensive.,Ondilo unene
I only have ...,Ondi na ... ashike
Don’t cheat me.,Ino nyokoma nge.
I don’t have enough money.,Kandi na oimaliwa ya wana.
How much is the soap?,Ofewa oi na ingapi?
One goat,Oshikombo shimwe
Two goats,Oikombo ivali
Three goats,Oikombo i+tatu → Oikombo itatu
Nine goats,Oikombo omuwoi (omuwoi needs no prefix)
One cow,Ongobe imwe
Two cows,Eengobe mbali
One frog,Efuma limwe
Two frogs,Omafuma avali
Some frogs,Omafuma amwe
Some cattle,Eengobe dimwe
Each person,Keshe umwe
Every day,Keshe limwe
All the frogs,Omafuma aeshe
All the cows,Oongombe adishe
Head (somewhere),Uka (uku)
Get in,Londa
Get out/off,Dja (di) mo
Stop,Fikama
Here,Apa
There,Opo
There,Penya
Near,Popepi na
Far,Kokule
Turn,Ngolyoka
Car,Oshihauto
Car,Ohauto
Car,Otuwa
Lift,Olefa
Hitchhike,Kwata olefa
Bus,Ombesa
Combi,Okambesa
To the left,Kolumosho
To the right,Kolulyo
Directions,Eembinga
Town,Odolopa
Church,Ongeleka
Church,Omambo
Police station,Opolifi
Post office,Opoosa
Office,Ombelewa
Petrol station,Omahooli
Petrol station,Oseevisa
Stop light,Omalobota
Road,Opate
Street,Ostalata
Path,Ondjila
I need a lift.,Onda pumbwa olefa.
Where are you going?,Oto i peni?
Do you have change for,Ou na oshendja y
Where is my change?,Oshendja yange? ( oi li peni?)
Stop here/ there.,Fikama apa/opo.
I am getting out here/ there.,Ohandi di mo apa/opo.
Stop for my friends.,Fikamena ookaume kange.
I want to go to,Onda hala (okuya) ko
Come,Uya
Go,Ya (I)
Go back,Shuna
Come back,Aluka
Come from,Dja (Di)
Arrive,Fika (Fiki)
Head,Omutwe
Hair,Eexwiki
Eyes,Omesho
Nose,Eyulu
Ears,Omakutwi
Mouth,Okanya
Shoulder,Epepe
Back,Ombuda
Arms,Omaoko
Hands,Omake
Hands,Eenyala
Chest,Onulo
Breast,Omavele
Stomach,Edimo
Buttocks,Omatako
Butt,Omatako
Legs,Omaulu
Knee,Ongolo
Foot,Omhadi
Toes,Ominwe
Fingers,Ominwe
Teeth,Omayo
Beard,Eendjedi
Pills,Eepela
Medicine,Omiti
Shot,Ovenda
Clinic,Okapangelo
Hospital,Oshipangelo
Doctor,Ndokotola
Doctor,Omupangi
Cough,Omukolo
Running nose,Eshikisha
Diarrhea,Oshimela
Toothbrush,Okati kokomayo
Toothbrush,Okakombe kokomayo
Toothpaste,Omuti wokomayo
Dental floss,Ongodi yomayo
Hairbrush,Omendu
Razor,Okambi
Razor,Okashina
Sunscreen,Omaadi omutenya
Lotion,Omaadi okolutu
Lip balm,Omaadi okomilungu
Condom,Okondoma
Condom,Ongumi
Sick,Vela
In pain,Ehama
Burn (yourself),Pya (pi)
Shave,Kulula
Vomit,Kunga (Kungu)
How are you sick?,Oto vele peni?
When did you get sick?,Owa tameka okuvela naini?
Can you call Maria for me?,Kwafe nge u dengele Maria?
I want to go to the hospital.,Onda hala okuya koshipangelo.
I want to see the doctor.,Onda hala okumona Ndokotola.
The doctor said I have to go to Windhoek.,Ndokotola okwa ti ondi na okuya kOvenduka.
I need a condom.,Onda pumbwa okondoma.
Use a condom.,Longifa okondoma.
Take some condoms.,Kufa(mo) eekondoma.
Protect yourself.,Liamena.
Happy,Hafa
Happy,Nyakukwa
Full,Kuta
Satisfied,Kuta
Angry,Handuka
Mad,Handuka
Want,Hala
Need (to be lacking),Pumbwa
Tired,Loloka
Dying (of),Fya (Fi)
Sleepy,Fya (Fi) emofi
Hungry,Fya (Fi) ondjala
Afraid,Tila
If,Ngeenge
If (unreal situations),Ngeno
Hypothetically Ngeno,
Then,Ndele
Then,Ndee
Maybe,Mbela
Maybe,Kashimba
It is possible,Otashi shiiva
It is possible,Otashi dulika
About,Kombinga
After,Konima
Behind,Konima
Backwards,Konima
In the back,Konima
Forward,Komesho
In front,Komesho
Before,Manga
While,Manga
Because,Shaashi
Because,Osheshi
But,Ndee
But,Ndele
But,Ashike
Probably,Pamwe
"If I eat meat, I will be sick.","Ngeenge onda li ombelela, ohandi vele."
"If I do not speak, it is okay.","Ngeenge inandi popya, oshi li nawa."
"If you had studied, you wouldn't have failed.","Ngeno owa leshele, ngeno ino dopa."
"If it were me (ie if I were you), I would","Ngeno aame, ngeno ohandi"
Maybe we will be rained on.,Mbela ohatu ka lokwa.
Will you go to Ongwediva?,Oto i kOngwediva?
It is possible.,Otashi shiiva.
It's possible that I'll go.,Otashi shiiva ndi ye.
I stay somewhere that side.,Ohandi kala kombinga kwii.
I will go after church.,Ohandi ka ya konima yongeleka.
We will go later (after time).,Ohatu ka ya konima yefimbo.
"Sit in front, Tate.","Inda komesho, Tate."
"Go forward, Tate.","Inda komesho, Tate."
I went home before I went to Ondangwa.,Onda ya keumbo manga inandi ya kOndangwa.
I bathe before I go to school.,Ohandi likosho manga inandi ya kofikola.
"I wanted to go, but I didn't get the money.","Okwa li nda hala okuya, ndee inandi mona oimaliwa"
"I went to Endola, then I went to Oshakati.",Onda ya kEndola ndee onda ya kOshakati.
He bought tomatoes.,Okwa landa omatama.
He bought them (tomatoes).,Okwe a landa.
I am eating porridge.,Ohandi li oshifima.
I am eating it (porridge).,Ohandi shi li.
Me,Nge
You ,Ku
Her,Mu
Him,Mu
Us,Tu
You ,Mu
Them,Va
You make me sick.,Oto ehameke nge.
Don't accuse me!,Ino lundila nge!
Help me!,Kwafe nge!
Tell me!,Lombwele nge!
This goat,Oshikombo eshi
That person,Omunhu oo
That thing,Oshinima osho
This place,Apa
That donkey over there,Ondoongi inya / ii
Koto is greeting Ndahafa.,Koto ota popifa Ndahafa.
