english,oshikwanyama
Ndahafa is being greeted by Koto.,Ndahafa ota popifwa ku Koto.
Sylvia told me.,Sylvia okwa lombwela nge.
The boys are going to ask the teacher.,Ovamati otava ka pula omulongi.
The teacher is going to be asked by the boys.,Omulongi ota ka pulwa kovamati.
I was given fat cakes.,Onda pewa oukuki.
The meat will be eaten up.,Ombelela otayi ka liwa po.
Monday,Omaandaxa
Tuesday,Etivali
Wednesday,Etitatu
Thursday,Etine
Friday,Etitano
Saturday,Olomakaya
Sunday,Osoondaxa
Sunday,Oshoondaxa
January,Januali
February,Febululali
March,Maalitsa
April,Apilili
May,Mei
June,Juni
July,Juli
August,Aguste
September,Septemba
October,Kotoba
November,Novomba
December,Desemba
Day,Efiku
Week,Oshivike
Weekend,Owikenda
Month,Omwedi
Year,Odula
Time,Efimbo
Minute,Omunute
Minutes,Ominute
Hour,Otundi
Clock,Ovili
Watch,Ovili
Meet,Shakena
Meet,Shakene
Meeting,Oshihongi
Meeting,Oshongalele
Holiday,Efudo
Vacation,Efudo
Workshop,Oshihongiilonga
Workshop,Owekshopa
What day is it?,Nena etingapi?
What time is it?,(Ovili) ongapi?
When (what day)?,Naini?
At what time (of day)?,Efimbo peni?
At what time (hour)?,Pongapi?
At what sun position?,Etango peni?
What is the date?,Omafiku angapi?
New Year’s,Efiku lotete lodula
Independence Day,Efiku lomanguluko
Easter,Opaasa
Worker's Day,Efiko lovanailonga
Cassinga Day,Efiku laKassinga
Ascension Day,Efiku lelondo
Africa Day,Efiku laAfrika
Hero's Day,Efiku lomapendafule
Namibia Children’s Day,Efiku lokanona okaNamibia
Human Rights Day,Efiku loufembawomunhu
Christmas,Okrismesa
Family Day,Efiku lovaneumbo
Merry Christmas,Okrismesa ya yambekwa
Did you celebrate the new year?,Owa dana odula ipe?
Did you arrive well (in the new year)?,Owa fika mo nawa?
Did you have a nice holiday / vacation?,Owa fuda po nawa?
Clothes,Oikutu
T-shirt,Okambidja
Shirt,Ohema
Blouse,Ohema
Blouse,Okabuluse
Trousers,Ombulukweva
Jersey,Ombidja
Sweater,Ombidja
Dress,Oshikutu
Jacket,Ombaikifa
Shoes,Omalukaku
Flip-flops,Eetapa
Socks,Oikafino
Hat,Embale
Belt,Omuya
Slip,Okadjalifo
Glasses,Omakende okomesho
Tie,Otae
Watch,Ovili
Bra,Okamanga
Underwear,Okapendi
Underwear,Okadolombuluku
Laundry,Oikutu yakaka
Laundry,Oikoshomwa
Clean,Yela
Dirty,Kaka
Bucket,Oshiyemele
Bucket,Evela
Soap,Ofewa
Clothesline,Ongodi yoikutu
Clothespins,Oukalamala
Iron,Oshikangule
Basin,Oshiyaxa
Basin,Ombaali
Wash (clothes or dishes),Kosha (Kosho)
Wash (your body),Likosho
Bathe,Likosho
Iron,Kangula
Where can I hang my clothes?,Openi hai tulike oikutu yange?
You look nice.,Oto monika nawa.
I was born like that.,Osho nda lwa.
red t-shirt,okambinja katiliyana
blue t-shirt,okambinja kambulau
black pants (trousers),ombulukweva ilaula
stupid goat,oshikombo shilai
hot water,omeva mapyu
good food,oikulya iwa
Big,Kula
To grow,Kula
Big goat,Oshikombo sha kula
Many goats,Oikombo ihai pu
Goats that don't finish,Oikombo ihai pu
Meme dress,Ohema yoomeme
Bedroom,Ondunda yokunangala
Sleep room,Ondunda yokunangala
I am happier than Rebecca.,Onda hafa ndi dule Rebecca.
You pound mahangu better than I do.,Oho tu omahangu u dule nge.
Beef is tastier than goat meat.,Ombelela yongobe oiwa i dule yoshikombo.
He is stronger than you.,Oku ku dule eenghono.
He surpasses you in strength,Oku ku dule eenghono.
I am the happiest person.,Onda hafa ndi dule aveshe.
Beef is the best meat.,Ombelela ongobe oi dule ombelela aishe.
You look like your mother.,Owa fa nyoko.
You all seem angry.,Omwa fa mwa handuka.
She runs like a cheetah.,Oha tondoka a fa etotono.
House,Eumbo
Toilet,Okandjuwo
Bedroom,Onduda yokunangala
Kitchen,Epata
Kitchen,Okambifa
Pantry,Okambifa
Shower,Okalikoshelo
Sitting room,Osheti
Sitting room,Oshinyanga
Hut,Onduda
Room,Onduda
Homestead,Eumbo lomiti
Homestead,Loshiwambo
Grain storage,Eshisha
Grain storage,Okaanda
Garden,Oshikunino
Corral,Oshuunda
Gate,Oshivelo
Door,Omuvelo
Fence,Ekoye
Fence,Odalate
Fire,Omundilo
River,Omulonga
Seasonal (water) pan,Oshana
Dirty water,Omeva a kaka
Dirty water,Omeva ma kaka
Water tap,Opomba
Water tap,Okapomba
Animal,Oshinamwenyo
Cow,Ongobe
Goat,Oshikombo
Chicken,Oxuxwa
Donkey,Ondoongi
Cat,Okambishi
Dog,Ombwa
Lizard,Ekoko
Snake,Eyoka
Spider,Eluviluvi
Scorpion,Ondje
Millipede,Ongongololo
Pig,Oshingulu
Duck,Ombaka
Horse,Onghambe
Bird,Okadila
Mouse,Omhuku
Ant,Ohedi
Ant,Onhenda
Fly,Odi
Mosquito,Omwe
Bat,Elimalima
Owl,Exuvi
Dove,Onguti
Cockroach,Epenzi
Cockroach,Ekakalate
Bug,Epuka
Bug,Okapuka
Bed,Ombete
Fridge,Okiila
Fridge,Ofilidja
Stove,Efiga
Trash,Oimbodi
Window,Ekende
Table,Oshitafula
Chair,Oshipundi
Roof,Eembuli
Roof,Mombada
Candle,Okalexita
Paint,Opainda
Lock,Ekumba
Key,Oshipatululo / Oshapi
Break,Teka (Teke)
Fix,Pangela
Lock,Pata
Latch,Pata
Open,Yuulula
Unlock,Patulula
Close,Edila
Close,Pata
Sweep,Komba (Kombo)
Look for,Konga (Kongo)
Rake,Halaka
Hoe,Lima (Limi)
Cultivate,Lima (Limi)
Plant,Twika
Plant,Twike
Sow,Kuna
Sow,Kunu
Plough,Pulula
Harvest,Teya
Slaughter,Dipaa
Kill,Dipaa
Skin,Yuva (Yuvu)
Fetch water,Teka (Teke)
Collect wood,Tyava (Tyave)
Throw away,Ekelashi
Meet,Shakaneka
Meet,Shakaneke
Meet,Mona
Meet,Mono
Visit,Talela po (Talele po)
Greet (on behalf of),Kundila po (Kundile po)
Wake up,Penduka
Wake someone up,Pendula
Where do I put my trash?,Openi handi ekelashi oimbodi?
It is broken.,Osha teka.
Can I paint my room?,Nandi painde onduda yange?
What’s wrong?,Oshike sha puka?
Can I help you?,Nandi ku kwafe?
Where can I plant a garden?,Openi handi dulu okuninga oshikunino?
I see the boys [who are] sweeping.,Ondi wete ovamati tava kombo.
It is Maria who cooked the fat cakes.,oMaria a teleka oukuki.
Who is singing?,Olye ta imbi?
It is who that is singing?,Olye ta imbi?
Is there soap [in] there?,Omu na ofewa?
There is nothing [there].,Kape na sha. / Kapu na sha.
Are there dogs in America?,"koAmelika, oku na eembwa?"
Are dogs eaten in America?,"koAmelika, ohaku liwa eembwa?"
There are people in the church.,Omu na ovanhu mongeleka.
I want you to go to school.,Onda hala u ye kofikola.
The teachers want the learners to stand up.,Ovalongi ova hala ovanafikola va fikame.
I don’t want her to talk.,Inandi hala a popye.
Meme Foibe wants the goats to get out.,Meme Foibe okwa hala oikombo i dje ko.
Shall I buy for you?,Nandi ku landele?
Let’s go!,Natu ye!
Should I clean?,Nandi wapaleke?
We saw each other.,Otwa monafana.
I bought some sweets for her.,Onde mu landela ouleke.
Don’t make me angry.,Ino handukifa nge.
Did you wash yourself?,Owe likosha?
my child,okaana kange
our time,ethimbo lyetu
your ear,okutwi kwoye
their goats,oikombo yavo
eight cows,eengobe hetatu
seven children,ounona vaheyali
six goats,oikombo ihamano
this porridge,oshifima eshi
these people,ovanhu ava
that house,eumbo olo
those children,ounona ovo
that cow,ongobe oyo
yonder trees,omiti dinya
yonder folk,ovanhu venya
stupid cow,ongobe ilai
small children,ounona vashona
bedroom,onduda yokunangala
Chalkboard,Oshipelende
Chalk,Omya
Pen,Opena
Pencil,Opena yekala
Paper,Ombapila
Book,Embo
Exam,Ekonaakono
Report,Odjapo
Certificate,Odjapo
Science,Ounongononi
Physical Science,Ounongononi
Mathematics,Omwaalu
English,Oshiinglisa
Afrikaans,Oshimbulu
German,Oshindowishi
Portuguese,Oshiputu
Spanish,Oshispania
Computers,Eekompiuta
Principal,Omukulunhufikola
Secretary,Hamushanga
Grade,Ondodo
Bag,Ondjato
Learners,Ovalongwa
Learners,Ovanafikola
Calculator,Okashina
Electricity,Olusheno
School Fund,Oshikefa shofikola
Prepare,Lilongekida
Invigilate,Kalela
Proctor,Kalela
Sit down,Kala omutumba
Mark,Talela
Stand up,Fikama
Be quiet,Mwena
Speak louder,Popya mokule / muule
Speak louder,Popya muule
Speak softer,Popya kashona
Speak softer,Popya pedu
Read aloud,Lesha mokule
Be late,Laata
You are correct,Ou li mondjila
You are not correct,Ku li mondjila
You are not correct,Owa puka
Put that axe down,Tula ekuva pedu
Volunteer,Omuliyambi
Trainer,Omudeuli
Community,Ovanhu vomomukunda / Ovakalimo
Development,Ehumokomesho
Observe,Talela
Project,Opoloyeka
Work (noun),Oilonga
Meeting,Oshihongi
Parents’ meeting,Oshihongi shovadali
School Board,Etonatelofikola
Clinic,Okapangelo / Okilinika
Headman,Omwene womukunda
Fundraising,Ekongo loimaliwa
Chairperson,Omunashipundi
Treasurer,Omudiinini woiniwe
Vote,Hoolola
We came to this meeting to,Otwe ya poshihongi eshi sho
Thank you for the opportunity,Tangi kompito
Where can we get?,Openi hatu dulu okumona?
Is there someone who can give us?,Opu na omunhu umwe ta dulu oku tu pa?
What does this community need?,Ovanhu vomomukunda ova pumbwa shike?
Opens at,Otashi patulula po
Closes at,Otashi pata po
I train teachers.,Ohandi deula ovalongi.
I am an HIV counsellor.,Ame omuhungimwenyo wo HIV.
I don’t want you.,Inandi hala.
I don’t want you.,Inandi ku hala.
Let go of me.,Efe nge!
Leave me alone!,Efe nge!
He is bothering me.,Ota hepeke nge.
I am already married.,Onda hombolwa nale.
I already have a man; I don’t want two.,Ondi na omusamane nale; inandi hala vavali.
Ate,Lya
Eat,Li
Will Eat,Lya
Drank,Nwa
Drink,Nu
Will drink,Nwa
Worked,Longa
Taught,Longa
Work,Longo
Teach,Longo
Will work,Longa
Will teach,Longa
Studied,Lilonga
Learned,Lilonga
Study,Lilongo
Learn,Lilongo
Will study,Lilonga
Will learn,Lilongo
Slept,Kofa
Sleep,Kofa
Will sleep,Kofa
Went,ya
Go,i
Will go,ya
Looked,Tala
Look,Tale
Will Look,Tala
Saw,Mona
See,Wete
Will see,Mona
Was,Li
Be,Li
Will be,Li
Loved,Hole
Love,Hole
Will love,Hole
Liked,Hole
Like,Hole
Will like,Hole
Had,Na
Have,Na
Will have,Na
Knew,Shiiva
Know,Shi
Will know,Shiiva
Felt,Uda
Feel,Udite
Will feel,Uda
Hear,Udite
Understood,Uda ko
Understand,Udite ko
Will understand,Uda ko
music,ondjimbo
dance,omufiuiulwakalo
dance,okundanisa
math,omuwalu
mathematics,omuwalu
tree,omuti
bread,omboloto
cake,oshikuki
fire,omudilo
dust,ondwi
clean,kuyela
dirty,kukaka
good,shiwa
bad,shiyi
expensive,ondilo
cheap,ombiliha
rice,orushi
soup,osopa
soap,ofewa
sister,omumwameme okaadona
brother,omumwameme mati
mother,meme
father,tate
grandmother,meekulu
grandfather,tatekulu
neighbour,omushinda
girlfriend,okakadona
boyfriend,okamati
mine,oshange
yours,oshoye
name (mention),okutumbulwa
name (name),edina
what,oshike
who,olye
why,molwashike
school,oskola
meat,ombelela
stove,efiya
grass,omumwidi
mouse,omuku
hole,ombululu
hall,ongulu
urine,omahu
back (body),ombuda
behind,konima
neck,ofingo
hear (listen),okudako
have,kukalaunasha
head (body),omutwe
wood,oshikuni
matches,okapalwa
cup,okakopi
mug,ekopi
glass,ekende
window,ekende
teacher,omulongi
zinc (roof),oshipeleki
rain,odula
summer,okwenye
winter,okufu
piano,ehumba
river,omulonga
boat,okambautu
police,polishi
bank,ombanga
mud,enono
inlaw,swaara
stepmother,meme
stepfather,tate
orphan,ofiwa
butterfly,onghango
namesake,ombushe
cloud,oshiko
world,oyuni
god,kalunga
satan,satana
evil,uulodi
handsom,umuwa
cute,umuwa
beautiful,oshiwa
power,eenghono
electricity,olusheno
education,elongo
nose,eyulu
face,oshipala
key,oshapi
door,omuvelo
soil,edu
sand,omawe
suitcase,okofa
cry,okukwena
cream,omaadi
scream,okukwilila
lotion,omaadi
mirror,okashipili
powder,opuuyela
maize,omapungu
mahangu,omahangu
teethbrush,okamboloshela
floor,ofulula
down,pedu
noise,okukudila
accident,oshiponga
Me,ame
I,ame
tea,otee
drug,okukolwa
hopsital,oshipangelo
sick,oku vela
hair,omaxikwi
sky,ewangandyo
message,etumwalaka
letter,ombapila
zebra,ongolo
baboon,ondjima
monkey,onghoshi
tiger,oxuxwa
chiken,okambishi
cat,ekondombolo
cock,oshimbele
thief,ofuthi
theft,uumbudi
front,komesho
marry,hombola
divorce,etopoko
dead,efyo
alive,omwenyo
cold,uutalala
warm,uupyu
hot,uupyu
left,olumosho
right,olulyo
forever,alushe
day,efiku
night,uufiku
good afternoon,wuhalapo
good morning,walelepo
yesterday,onghela
tomorrow,mongula
today,nena
week,oshivike
this,eshi
that,osho
those,oyo
male,omulumenhu
female,okainhu
black,omulaula
white,shatoka
dark,uulaulu
weight,unojundo
write,shanga
read,lesha
sing,imba
hendred one,efele naimwe
one thousand,eyovi
again,natango
arm,okwooko
pap,oshifima
owner,mwene
dry,kasha
climb,londa
give,yandja
rope,ongodi
pleased,hafa
sorry,ombili
forgive,diminapo
kid,okaana
child,okaana
sit,kala umutumba
stand,kala ofika
clothes,iikutu
cabinet (put clothes),oskopa
stick,oshiti
forget,dimbwa
flower,ongala
look,tala
look (search),konga
drunk,kolwa
How are you,Owuli ngahelipi?
How have you been,Owulipo ngahelipi?
How is everything,oininima oyili ngahelipi?
what are you doing,Otoningi shike?
what are you doing (task),otoningi shike osho?
I am good,ondili nawa
Everything is good,keshe shimwe oshili nawa
nothing,owala
busy,lipyakidila
difficult,shidjuu
tough,shikukutu
amazing,shi shambulifa
simple,shipu
tired,loloka
rest,fudapo
peace,omibili
piece,oshipambu
piece (of meat),onhumba
Are you busy?,Oweli 'pyakidila
Come here,ila oku
Come here,ila
Don't go,inoya
where is peter,peter okuli peni?
when will he come back?,ota aluka nayini
when,nayini
back,konima
behind,konima
Good morning,Wa lele po?
Good afternoon,Wa uhala po?
Good evening,Wa tokelwa po?
Hello (and other informal greetings),Ongaipi / Ongiini
Go well,Enda po nawa
Stay well,Kala po nawa
Sleep well (someone leaving for bed),Ka nangale po nawa
Sleep well (someone you're leaving),Nangala po nawa
Friends,ooKaume
Yes,Ehee / Ee / Heeno
No,Ahowe / Aaye
OK,Eewa
I,Ame
You,Ove
He/She,Ye
We,Fye
You all,Nye
They,Vo
One,Imwe
Two,Mbali
Three,Nhatu
Four,Nhee
Five,Nhano
Six,Hamano
Seven,Heyali
Eight,Hetatu
Nine,Omuwoi
Ten,Omulongo
Eleven (Ten and one),Omulongo na imwe
Twelve (Ten and two),Omulongo nambali
Twenty (Two tens),Omilongo mbali
Twenty-five (Two tens and five),Omilongo mbali nanhano
Thirty (Three tens),Omilongo nhatu
One hundred,Efele
Two hundred,Omafele avali
Three hundred,Omafele atatu
One thousand,Eyovi
Two thousand,Omayovi avali
I'm hungry.,Onda fya ondjala.
I'm thirsty.,Onda fya enota.
I'm full.,Onda kuta.
I'm finished.,Onda mana.
"I'm tired, I want to go to sleep.","Onda loloka, onda hala okukofa."
Where is the water?,Omeva oku li peni?
I don’t eat meat.,Ihandi li ombelela.
I don’t understand...,Kandi udite ko...
The food is very good!,Oikulya inyenye! / Oikulya iwa
Thank you very much.,Tangi unene.
Where is the latrine?,Okandjuwo oke li peni?
I need ……..,Onda pumbwa ……..
I want …….. (polite),Onda hala ……..
May I have .......... (very polite),Kwafe nge / Kwafele nge .........
Give me .......... (informal),Pe nge .........
Water,"Omeva (often ""omeya"")"
Basin,Oshiyaxa
To sleep,Okukofa
To eat,Okulya
To bathe,Okulikosha
Body soap,Ofewa (yokulikosha)
Candle,Okalexita
Cup,Okakopi
Beer,Obiila
Help (noun),Ekwafo
Key,Oshapi / Oshipatululo
And / With,Na
Also / Still / Again,Natango
Or,Ile
I don't know,Kandi shi shii
I'm hungry.,Onda fya ondjala.
I'm thirsty.,Onda fya enota.
I'm full.,Onda kuta.
I'm finished.,Onda mana.
"I'm tired, I want to go to sleep.","Onda loloka, onda hala okukofa."
Where is the water?,Omeva oku li peni?
I don’t eat meat.,Ihandi li ombelela.
I don’t understand...,Kandi udite ko...
The food is very good!,Oikulya inyenye! / Oikulya iwa
Thank you very much.,Tangi unene.
Where is the latrine?,Okandjuwo oke li peni?
I need ……..,Onda pumbwa ……..
I want …….. (polite),Onda hala ……..
May I have .......... (very polite),Kwafe nge / Kwafele nge .........
Give me .......... (informal),Pe nge .........
Water,"Omeva (often ""omeya"")"
Basin,Oshiyaxa
To sleep,Okukofa
To eat,Okulya
To bathe,Okulikosha
Body soap,Ofewa (yokulikosha)
Candle,Okalexita
Cup,Okakopi
Beer,Obiila
Help (noun),Ekwafo
Key,Oshapi / Oshipatululo
And / With,Na
Also / Still / Again,Natango
Or,Ile
I don't know,Kandi shi shii
Good morning,Wa lele po?
Good afternoon,Wa uhala po?
Good evening,Wa tokelwa po?
Hello (and other informal greetings),Ongaipi / Ongiini
Go well,Enda po nawa
Stay well,Kala po nawa
Sleep well (someone leaving for bed),Ka nangale po nawa
Sleep well (someone you're leaving),Nangala po nawa
Friends,ooKaume
Yes,Ehee / Ee / Heeno
No,Ahowe / Aaye
OK,Eewa
One,Imwe
Two,Mbali
Three,Nhatu
Four,Nhee
Five,Nhano
Six,Hamano
Seven,Heyali
Eight,Hetatu
Nine,Omuwoi
Ten,Omulongo
Eleven (Ten and one),Omulongo na imwe
Twelve (Ten and two),Omulongo nambali
Twenty (Two tens),Omilongo mbali
Twenty-five (Two tens and five),Omilongo mbali nanhano
Thirty (Three tens),Omilongo nhatu
One hundred,Efele
Two hundred,Omafele avali
Three hundred,Omafele atatu
One thousand,Eyovi
Two thousand,Omayovi avali
English,Oshikwanyama
Traditional porridge,Oshifima / Oifima
Meat,Ombelela
Beef,Ombelela yongobe
Chicken,Oxuxwa
Goat,Oshikombo
Fish,Oshi
Field mouse,Omhuku
Soup,Oshopa
Pasta,Omakoloni
Rice,Olwiishi
Millet,Omahangu
Cabbage / Spinach,Ombidi
Dried spinach,Evanda
Tomato / Tomato sauce,Etama / Edama
Salt,Omongwa
Oil,Omaadi
Sugar,Osuuka
Flour,Oufila
Beans,Omakunde
Butter,Ombuta
Bread,Omboloto
Fat cakes,Oukuki
Apple,Oshiyapela / Eyapela
Jam,Ongema
Tea,Otee
Coffee,Okoofiwa
Cooldrink,Onamunate
Traditional non-alcoholic drinks,Oshikundu / Oshinwa
Traditional alcoholic drinks,"Omalodu, Otombo, Ombike"
Traditional porridge,Oshifima / Oifima
Meat,Ombelela
Beef,Ombelela yongobe
Chicken,Oxuxwa
Goat,Oshikombo
Fish,Oshi
Field mouse,Omhuku
Soup,Oshopa
Pasta,Omakoloni
Rice,Olwiishi
Millet,Omahangu
Cabbage / Spinach,Ombidi
Dried spinach,Evanda
Tomato / Tomato sauce,Etama / Edama
Salt,Omongwa
Oil,Omaadi
Sugar,Osuuka
Flour,Oufila
Beans,Omakunde
Butter,Ombuta
Bread,Omboloto
Fat cakes,Oukuki
Apple,Oshiyapela / Eyapela
Jam,Ongema
Tea,Otee
Coffee,Okofi
Cooldrink,Onamunate
Traditional non-alcoholic drinks,Oshikundu / Oshinwa
Traditional alcoholic drinks,"Omalodu, Otombo, Ombike"
Pot,Ombiya
Bowl / Basin,Oshiyaxa
Plate,Okayaxa
Traditional clay pot,Etiti
Spoon,Olunguto
Fork,Ofoloka
Knife,Ombele
Cooking stick,Oluko
Fire,Omundilo
Cooking fire,Ediko
Match,Okapalwa
Meat,Ombelela
Cabbage / Spinach,Ombidi
Dried spinach,Evanda
Goat,Oshikombo
Beef,Ombelela yongobe
Chicken,Oxuxwa
Dog,Ombwa
Fish,Oshi
Field mouse,Omhuku
Frog,Efuma
Soup,Oshopa
Pasta,Omakoloni
Rice,Olwiishi
Oil,Omaadi
Tomato / Tomato sauce (Ketchup),Etama / Edama
Salt,Omongwa
Fat cakes,Oukuki
Apple,Oshiyapela / Eyapela
Flour,Oufila
Sugar,Osuuka
Millet,Omahangu
Traditional non-alcoholic drinks,Oshikundu / Oshinwa
Traditional alcoholic drinks,"Omalodu, Otombo, Ombike"
Bread,Omboloto
Jam,Ongema
Butter,Ombuta
Beans,Omakunde
Tea,Otee
Coffee,Okofi
Cooldrink,Onamunate
Pot,Ombiya
Bowl / Basin,Oshiyaxa
Plate,Okayaxa
Traditional clay pot,Etiti
Spoon,Olunguto
Fork,Ofoloka
Knife,Ombele
Hand,Eke / Eenyala
Cooking stick,Oluko
Fire,Omundilo
Cooking fire,Ediko
Match,Okapalwa
Verb: To sleep,Okukofa
Verb: To eat,Okulya
Verb: To sing,Okwiimba
Verb: To boil,Okutya
Verb: To put,Oku tula
Verb: To bring,Oku lawa
Verb: To wait,Oku teelela
Verb: To stay,Oku kala
Verb: To go,Oku inda
Verb: To come,Oku ila
Verb: To give,Oku longa
Verb: To cook,Oku longeka
Verb: To help,Oku landa
Ant,Odididi
Bird,Okadila
Mouse,Omhuku
In the beginning God created the heavens and the earth,Eshito lounyuni Pehovelo Kalunga okwa shita eulu nedu.
"Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters","Ndele edu ola li la tokekwa nola li hamungaho, nomulaulu owa li kombada youle womeva, nOmhepo yaKalunga ya tengelela kombada yomeva."
"And God said, ""Let there be light,"" and there was light",Ndele Kalunga okwa ti: “Nape uye ouyelele!” Nouyelele owe uya.
"God saw that the light was good, and he separated the light from the darkness",Ndele Kalunga okwa tala ouyelele oo omuwa.
"And there was evening, and there was morning—the first day","Ndele opa ningwa onguloshi nongula, efiku lotete."
So God made the vault and separated the water under the vault from the water above it,Ndele Kalunga okwa ninga evalelwa nokwa tongola omeva aa a kala koshi yevalelwa naa a kala kombada yevalelwa.
And it was so,Ndele osho sha ningwa.
"And there was evening, and there was morning—the second day","Ndele opa ningwa onguloshi nongula, efiku etivali."
And it was so,Ndele osho sha ningwa.
And God saw that it was good,"Opo nee Kalunga e shi tala, sha wapala."
And it was so,Ndele osho sha ningwa.
The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds,"Edu ola twimika omwiidi, noimeno ya eta eembuto pamaludi ayo nomiti da ima oiimati mu na ombuto yado pamaludi ado."
And God saw that it was good,"Opo Kalunga okwe shi tala, sha wapala."
"And there was evening, and there was morning—the third day","Ndele pa ningwa onguloshi nongula, efiku etitatu."
And it was so,Ndele osho sha ningwa.
God made two great lights—the greater light to govern the day and the lesser light to govern the night,"Ndele Kalunga okwa ninga ouyelele vivali va kalunga, ouyelele omunene wi kaleke mOtenya nale omundjungu wi kaleke mOufiku."
He also made the stars,Ndele okwa ninga oinima.
"To govern the day and the night, and to separate light from darkness","Wookaleke omutenya, neoufiku, noku ninge etongoko pokati kouyelele nomulaulu."
And God saw that it was good,"Opo Kalunga okwe shi tala, sha wapala."
"And there was evening, and there was morning—the fourth day","Ndele pa ningwa onguloshi nongula, efiku eline."
"So God created the great creatures of the sea and every living thing with which the water teems and that moves about in it, according to their kinds, and every winged bird according to its kind","Ndele Kalunga okwa ninga oonyanyu va monene, nenyanyu dhedi dha mu na ounyuni uume omeva nomashike alo ya monene, pa maludi gado, neeni oonyuni dha monene pamaludi gado."
And God saw that it was good,"Opo Kalunga okwe shi tala, sha wapala."
"And there was evening, and there was morning—the fifth day","Ndele pa ningwa onguloshi nongula, efiku etaano."
And it was so,Ndele osho sha ningwa.
"God made the wild animals according to their kinds, the livestock according to their kinds, and all the creatures that move along the ground according to their kinds","Ndele Kalunga okwa ninga ooyalunde pamaludi gado, neenikosa nooyalunde, nooyalunde, nomuloka eedhu pamaludi gado."
And God saw that it was good,"Opo Kalunga okwe shi tala, sha wapala."
"So God created mankind in his own image, in the image of God he created them; male and female he created them","Ndele Kalunga okwa ninga muntu, muulina weene, muulina waKalunga, owiima nalye mukwanekamba."
And it was so,Ndele osho sha ningwa.
"God saw all that he had made, and it was very good","Opo Kalunga a shi tala osha ningwa, sha wapala mwenee."
"And there was evening, and there was morning—the sixth day","Ndele pa ningwa onguloshi nongula, efiku elimwe."
Thus the heavens and the earth were completed in all their vast array,"Ndele pa ningwa omalwela la eulu neEdu miine, neEdu ya ti waluka osha ningwa."
By the seventh day God had finished the work he had been doing; so on the seventh day he rested from all his work,"Efiku elimwe Kalunga osha ningwa omayego ga okwi ninga, pa nale kOnzimbinga ndele efiku lyaValwe kwa ningwa."
"Then God blessed the seventh day and made it holy, because on it he rested from all the work of creating that he had done","Ndele Kalunga okwa ninga efiku elimwe kwa pilukile nale ku shita eLongelo, ndelenga kwa longo okwa ningwa po efiku elimwe kwa pilukile."
"This is the account of the heavens and the earth when they were created, when the Lord God made the earth and the heavens","Osho mboka epokondje la eulu neEdu, nale kwa ninga."
But streams came up from the earth and watered the whole surface of the ground,"Ndele meva ya kala meula, yoEdu ya pilukile kEdu."
"Then the Lord God formed a man from the dust of the ground and breathed into his nostrils the breath of life, and the man became a living being","Ndele Kalunga owa ninga omuntu omuthu wElondo, nasho a vule mEpulo, sho omuntu a valukwa, sho a nga omhupitha."
"Now the Lord God had planted a garden in the east, in Eden; and there he put the man he had formed","Kalunga owa yandja omuti, muEden, ndelenga kalunga nda peikwa."
The Lord God made all kinds of trees grow out of the ground—trees that were pleasing to the eye and good for food. In the middle of the garden were the tree of life and the tree of the knowledge of good and evil,"Kalunga owa ninga omiti yoomiti dhidhidha, naoyimeno oya kala ya hohokelela mewoko, neenkundu, neeshike shi thominika kombada nelondo ndhuu, noomiti yooya nomuloki momiti dhidhidha, neembuto yadhidha."
A river watering the garden flowed from Eden; from there it was separated into four headwaters,Noondjina dha kala yiwa mekwetepo.
"The name of the first is the Pishon; it winds through the entire land of Havilah, where there is gold","Noondjina dhi li muEdu ohandjina lya li muOndjinda lyOpili, lyokwe muEden."
The name of the second river is the Gihon; it winds through the entire land of Cush,"Ohandjina lyokwe lya li muOmbele, noondjina nawa kwenda kwatye."
The name of the third river is the Tigris; it runs along the east side of Ashur. And the fourth river is the Euphrates,Ohandjina lyekewa lyombele ohandjina lyombele ohandjina lyekewa.
The Lord God took the man and put him in the Garden of Eden to work it and take care of it,Kalunga owa peikwa omulandu muEdu nale eikokama.
"Now the Lord God had formed out of the ground all the wild animals and all the birds in the sky. He brought them to the man to see what he would name them; and whatever the man called each living creature, that was its name","Kalunga owa kaleke oombuto, noonyuni va li kEdu, nale ya tekela mulandu opo shi a toloke."
"So the man gave names to all the livestock, the birds in the sky and all the wild animals","Omuinwa owa tongolola, noombuto, neenyuni, neenikosa yoompito."
But for Adam no suitable helper was found,Omundu kwa kaleke omundandi.
"So the Lord God caused the man to fall into a deep sleep; and while he was sleeping, he took one of the man's ribs and then closed up the place with flesh","Kalunga owa eko omulandu omuti mombanda, sho a ti: woshi owuuna shikoko."
"Then the Lord God made a woman from the rib he had taken out of the man, and he brought her to the man","Kalunga owa ninga mulandu, ne kwa yamukula."
"That is why a man leaves his father and mother and is united to his wife, and they become one flesh","MoEdu kwa ningwa omukazona, noomoka, eeshike lyAadam okwe ya tolonge."
"Adam and his wife were both naked, and they felt no shame",Adam neEtsha va ninga.
"""You will not certainly die,"" the serpent said to the woman",Ndele ombanda owa ti: “Owi.”